zone,slot_raw,slot_conformal,hourly_raw,hourly_conformal,width_raw_pct,width_conformal_pct,below_conf,above_conf
CAPITL,52.07911184679928,77.5678529638403,52.35159817351598,77.94520547945206,12.009395007576336,19.6071202603163,11.552841119894975,10.879305916264734
CENTRL,52.51006021861354,77.26533291475214,53.37899543378995,77.99086757990867,11.516418292179322,18.84160599892309,11.518593567168013,11.216073518079854
DUNWOD,52.3730700077057,78.12437569565341,53.20776255707762,78.64155251141553,9.098965686763535,15.34129216962253,11.153286338080424,10.72233796626616
GENESE,53.39764262678729,77.89035075201917,53.75570776255708,78.2876712328767,11.057509345329374,17.736530612549316,11.427266759896115,10.682382488084706
HUD VL,52.955278404064046,77.70769713747538,54.12100456621004,78.35616438356165,12.367127491559247,19.96467071495868,11.375895430805674,10.916407431718941
LONGIL,50.98604412226376,76.74591169839321,51.46118721461187,77.0662100456621,10.986625292670226,18.526537047909674,12.29201746625189,10.96207083535489
MHK VL,53.563172464967614,77.90747452838266,54.31506849315069,78.5730593607306,15.44178711500125,25.46032784912557,11.484346014441051,10.60817945717629
MILLWD,50.2868232540883,76.60321356203087,51.118721461187214,77.59132420091325,12.938560082662962,22.220763300954292,11.68983133080282,11.7069551071663
N.Y.C.,50.62359085590342,77.68201147293017,50.70776255707763,77.9566210045662,7.064429821615399,12.36928544998185,11.512885641713519,10.805102885356318
NORTH,54.64197037586689,78.22997231656154,56.71232876712329,80.0,8.515564953407141,13.596127799018845,11.407289020805388,10.362738662633065
NYCA,50.49516253317732,77.35380575929678,50.662100456621005,77.6027397260274,7.658176836616583,13.239614946245718,11.435828648077855,11.21036559262536
WEST,49.784525814092866,76.1465795256714,50.34246575342466,76.6324200913242,7.6435261028054615,13.853911195924141,12.343388795342333,11.510031678986273
pooled,51.9747043770275,77.43538152725058,52.67789193302892,78.05365296803653,10.524840502348901,17.56314894546083,11.599455844440005,10.965162628309407
