zone,days,mape_hourly,mape_slot,mape_alpha_bid_hourly,p10_p90_coverage,alpha_mean
CAPITL,365,6.078355431923935,6.176017830310964,6.177014441675352,57.75970319634703,0.45286648283465436
CENTRL,365,5.781149713408858,5.878907339068718,5.859559508641021,58.327625570776256,0.4586298301390663
DUNWOD,365,4.5488893791079485,4.635782965236067,4.628289721400742,57.72545662100457,0.4604060443692896
GENESE,365,5.332787729829634,5.39934951350365,5.459593095994681,58.9925799086758,0.44822277885225875
HUD VL,365,6.065535083946174,6.185387091128503,6.190578842324995,58.470319634703195,0.4535714912762324
LONGIL,365,5.55636191351438,5.605371778981719,5.677804055539788,55.9189497716895,0.48333173061115225
MHK VL,365,7.849143015880439,8.017905026972231,7.877816013788627,58.39897260273973,0.4495717143252283
MILLWD,365,6.609724717115744,6.791374383633844,6.6901364586775856,56.08162100456621,0.46231600159521286
N.Y.C.,365,3.547140816144682,3.569095989474311,3.6053443227748865,55.793378995433784,0.4639561825761036
NORTH,365,4.40905261906401,4.606201334595754,4.447426801914318,60.08561643835616,0.4536543079214988
NYCA,365,3.851092287464828,3.879244805162413,3.851092287464828,55.448059360730596,0.5
WEST,365,4.3207894548916705,4.368669729955561,4.260178514002764,53.578767123287676,0.41012268768097976
pooled,365,5.329168513524358,5.426108982335311,5.393736172016632,57.21508751902588,0.4580541043484731
