zone,n,model,persist_2d,persist_7d,mean_7_14,isolf_pre,isolf_post
CAPITL,8760,5.432021886573083,11.408023014621374,12.22705897697419,11.076232727472881,5.332825668922019,5.086649416429627
CENTRL,8760,5.105486843204252,11.099107026472801,11.82509360207868,10.646983797931794,6.3155095561250345,6.14892449261685
DUNWOD,8760,4.013460437123439,10.088461871708663,10.59302626525273,10.071702102117849,3.7476829926638118,3.396995102053482
GENESE,8760,4.66079352119113,11.018209962831008,11.069389968222442,10.174508121150563,4.693101726208642,4.311990697469274
HUD VL,8760,5.244449413936136,12.334133577321083,13.879874673903348,12.713838907066805,6.197166040584872,5.3045888924486935
LONGIL,8760,4.437296767224067,11.015537124893033,11.600490427851671,10.969069148124198,4.049636971992908,3.601463724900422
MHK VL,8760,7.463974478918832,14.324586930531396,15.285397668132736,13.858427902994022,7.7982931419336685,7.318148437333299
MILLWD,8760,6.293115960628621,12.596302151211336,14.426749237703977,13.570832909652914,5.968006942490533,5.407730537147551
N.Y.C.,8760,2.9335626855142274,9.2940011290246,8.682849111598289,8.515273693922886,2.442286888808267,2.0440854668532147
NORTH,8760,4.466657914241068,5.845068896859644,6.926348546515422,6.242665380594922,5.387386777030744,4.3676515370753775
NYCA,8760,2.9429859173651542,8.76064380043253,9.10742547724591,8.502937298683861,2.811452194533226,2.580690362967059
WEST,8760,4.579520473371017,8.141592138060323,7.9163087650273845,7.397044562218653,3.4239458626391652,2.9320458113825283
pooled,105120,4.797777191607585,10.493805635330649,11.128334393375564,10.311626379327612,4.847274563661074,4.375080373223115
