strategy,zone,imbalance_usd,abs_imbalance_usd,da_cost_usd,energy_mwh,usd_per_mwh,pct_of_da_cost,slots
persist_2d,CAPITL,7885205.336077903,25341295.331153683,884776789.0515709,11366787.989040287,0.693705675137138,0.8912084306065922,35035
persist_2d,CENTRL,7518029.868032228,27116809.814024128,1072595078.8018857,14567768.502498657,0.5160728540368238,0.7009196682526314,35035
persist_2d,DUNWOD,4259159.707638427,14974797.867627615,455738626.2160159,5829817.670590652,0.7305819749945811,0.9345619314742096,35035
persist_2d,GENESE,2966443.61568251,16526630.262241362,636791223.8371979,9292924.455284199,0.3192152943840744,0.4658424150080485,35035
persist_2d,HUD VL,9807990.935111575,27558863.716240447,770731964.4190145,9664296.567774497,1.0148685800698858,1.2725553613836345,35035
persist_2d,LONGIL,21131922.894992724,61618475.78358656,1576805400.5393214,20190076.18816293,1.0466489922104396,1.3401731683418183,35035
persist_2d,MHK VL,5006146.8390735835,16611145.696077714,559825737.4374138,7037957.942043193,0.711306728499751,0.894233062950817,35035
persist_2d,MILLWD,2444725.4764981894,8538493.915768694,218719571.95147917,2677772.457886052,0.9129698340493652,1.117744267093083,35035
persist_2d,N.Y.C.,21237930.96964864,110731608.65939395,3916426129.1739583,51009600.132907294,0.41635164585318196,0.5422783494228215,35035
persist_2d,NORTH,1193115.3037632147,6593285.184553212,387148026.68444467,5237478.464034171,0.22780338133251568,0.3081806496551499,35035
persist_2d,WEST,2507095.9380164696,19113971.122461334,921989073.9500691,14422570.399168884,0.1738314231533197,0.27192252151919133,35035
persist_7d,CAPITL,462260.4327739301,31902979.213538624,870338698.9798014,11366701.003581954,0.04066795041307582,0.05311270581393027,35035
persist_7d,CENTRL,1705352.5212079778,35527188.655176565,1054022360.6643692,14567554.85475699,0.11706511753076393,0.1617947194339467,35035
persist_7d,DUNWOD,1762781.32297602,20414295.3754127,447410308.59187555,5829745.000665652,0.3023770890107101,0.39399658191246917,35035
persist_7d,GENESE,2001011.567406022,19978395.093302578,627265831.5719886,9292818.148242531,0.21532882011518278,0.3190053509516522,35035
persist_7d,HUD VL,2562465.3141831495,38089133.65609971,752212244.4294053,9664166.04775783,0.26515120927352687,0.34065721917713815,35035
persist_7d,LONGIL,11122113.047173062,79171255.82089707,1545281923.2265527,20189878.262346264,0.5508756864530278,0.7197465316846561,35035
persist_7d,MHK VL,1209914.1660695558,21180551.349054962,550556369.2291708,7037802.669343193,0.17191646639084748,0.2197620868074864,35035
persist_7d,MILLWD,533027.5750180213,11765698.034901999,213091545.857838,2677710.851144385,0.1990609160769614,0.25014017936386157,35035
persist_7d,N.Y.C.,3712584.1115473136,144125243.87231514,3855072178.245404,51009275.55445729,0.07278252967117273,0.09630388070287851,35035
persist_7d,NORTH,-698588.6211916483,7889420.813892346,383062773.7947321,5237437.970959171,-0.1333836553416423,-0.18236922744312237,35035
persist_7d,WEST,2123698.7580363452,22235814.91324799,913656975.5711782,14422423.145502217,0.1472497885141196,0.23243939627437335,35035
mean_7_14,CAPITL,-642771.2681224362,33578072.6733013,860502450.4326323,11367851.100840287,-0.05654290000991691,-0.07469720368597114,35039
mean_7_14,CENTRL,416131.8261598143,36932923.92896029,1043954661.4942437,14569153.090515323,0.02856252683834592,0.039861101397276416,35039
mean_7_14,DUNWOD,1560471.7727363694,20888325.662617058,442721092.6203684,5830282.248757319,0.2676494389390792,0.352472877111023,35039
mean_7_14,GENESE,1459293.1183352259,20836863.514281016,622253304.1347865,9293781.730667531,0.15701822580143715,0.23451753628922922,35039
mean_7_14,HUD VL,1768615.8731153794,39940240.09916011,741736631.10893,9665110.928899497,0.1829897128057857,0.23844256828346447,35039
mean_7_14,LONGIL,14670346.404418917,76973408.91091172,1532889325.4864478,20191687.893679596,0.7265537423947124,0.9570388520882566,35039
mean_7_14,MHK VL,-342180.30380011094,22139615.002433274,542537075.0293468,7038633.356943193,-0.04861459411898056,-0.06307040007940504,35039
mean_7_14,MILLWD,486719.61633655353,11927893.45013811,210628336.17463067,2678009.804611052,0.18174676414496682,0.23107983720339376,35039
mean_7_14,N.Y.C.,1693601.5523915796,151352066.32161707,3817672103.442578,51013756.80118229,0.03319891846021285,0.04436215333591321,35039
mean_7_14,NORTH,-1156040.76477674,8029045.894265862,380723094.49033576,5238036.30340917,-0.22070117460322528,-0.3036434567554412,35039
