zone,days,mape_hourly,mape_slot,mape_alpha_bid_hourly,p10_p90_coverage,alpha_mean
CAPITL,365,5.432021886573083,5.527441844135512,5.591349301275705,74.44634703196347,0.45286648283465436
CENTRL,365,5.105486843204252,5.20509048501586,5.164106604803872,75.86472602739725,0.4586298301390663
DUNWOD,365,4.013460437123439,4.101208563742194,4.112925451462905,74.15810502283105,0.4604060443692896
GENESE,365,4.66079352119113,4.737437283450879,4.732188819962188,75.1683789954338,0.44822277885225875
HUD VL,365,5.244449413936136,5.357377338917696,5.447326809303654,75.45376712328768,0.4535714912762324
LONGIL,365,4.437296767224067,4.492709381937947,4.780633159428361,76.91495433789954,0.48333173061115225
MHK VL,365,7.463974478918832,7.619802728031848,7.333324195356153,72.53139269406392,0.4495717143252283
MILLWD,365,6.293115960628621,6.4626754321799424,6.468148840645112,72.06050228310502,0.46231600159521286
N.Y.C.,365,2.9335626855142274,2.9514796917804653,3.2288450545085126,80.58219178082192,0.4639561825761036
NORTH,365,4.466657914241068,4.64884529566894,4.610719353393266,77.75114155251141,0.4536543079214988
NYCA,365,2.9429859173651542,2.972795109821289,2.9429859173651542,77.19178082191782,0.5
WEST,365,4.579520473371017,4.618430638615047,4.205758997749763,65.53652968036529,0.41012268768097976
pooled,365,4.797777191607585,4.891274482774801,4.8848593754378875,74.80498477929984,0.4580541043484731
