zone,days,mape_hourly,mape_slot,mape_alpha_bid_hourly,p10_p90_coverage,alpha_mean
CAPITL,365,6.353757023325804,6.445119038119838,6.375990949482755,52.077625570776256,0.45286648283465436
CENTRL,365,6.057503409018634,6.152728417980152,6.1212097111146875,52.50856164383562,0.4586298301390663
DUNWOD,365,4.721603265316808,4.805922223197988,4.795675274367269,52.371575342465746,0.4604060443692896
GENESE,365,5.5877588278805,5.653078933034177,5.666280571452761,53.396118721461185,0.44822277885225875
HUD VL,365,6.383510870126711,6.501173329154922,6.43268206600746,52.953767123287676,0.4535714912762324
LONGIL,365,5.780838533536427,5.831169848418971,5.837682969854598,50.984589041095894,0.48333173061115225
MHK VL,365,8.19471367328489,8.356201898524127,8.184617977639922,53.56164383561644,0.4495717143252283
MILLWD,365,6.989280556716946,7.160003419295393,7.007074512751661,50.28538812785388,0.46231600159521286
N.Y.C.,365,3.8033121439546203,3.824752460479581,3.8283576254322575,50.62214611872145,0.4639561825761036
NORTH,365,4.428009857913032,4.619577836773838,4.483346807558038,54.640410958904106,0.4536543079214988
NYCA,365,4.028960650260963,4.05469518671593,4.028960650260963,50.493721461187214,0.5
WEST,365,4.394163269862611,4.441398304319908,4.350216270512853,49.783105022831045,0.41012268768097976
pooled,365,5.5602843400998285,5.653818408001235,5.59267461553627,51.97322108066971,0.4580541043484731
